# t	X(t)
0	4.22957
1	0.00427948
2	0.0335662
3	-2.04804
4	0.0284267
5	-0.248868
6	-3.48147
7	-0.326369
8	-1.47965
9	-1.37092
10	0.841613
11	-0.563433
12	-1.1585
13	1.70617
14	1.39166
15	-0.740456
16	0.779084
17	0.662433
18	1.18963
19	0.542458
20	-1.07489
21	0.873683
22	1.21791
23	-0.335708
24	-0.843797
25	0.41317
26	0.723857
27	-0.350822
28	-0.355829
29	-0.722874
30	0.381944
31	0.378038
32	-2.02137
33	-0.730981
34	-0.109042
35	-0.89527
36	-1.23747
37	-0.511676
38	0.0125178
39	-0.645047
40	3.36841
41	-0.674394
42	-0.726895
43	6.61781
44	-0.642726
45	-0.55873
46	2.51858
47	0.153398
48	0.148174
49	-3.10252
50	-0.141047
51	-0.614925
52	-2.95132
53	-0.161086
54	-1.52057
55	-1.08185
56	1.2429
57	0.0488428
58	-1.25033
59	1.57252
60	1.51668
61	-0.23677
62	0.538458
63	0.0913142
